date,amount,category,description,notes
2026-04-01,4500.00,Rental,Monthly room rent,Fixed expense
2026-04-02,320.00,Food,Groceries for the month,Bulk shop
2026-04-03,78.00,Subscriptions,Netflix Spotify Adobe bundle,Entertainment
2026-04-04,55.00,Transport,Octopus card top up,Commuting
2026-04-05,120.00,Entertainment,Friends birthday dinner contribution,Social
2026-04-06,88.00,Shopping,New running shoes sale,Needed for sport
2026-04-07,45.00,Food,Canteen week 1,Lunches
2026-04-08,200.00,Shopping,Textbooks for new semester,Academic
2026-04-09,35.00,Food,Bubble tea and snacks,Social
2026-04-10,60.00,Entertainment,Bar night out,Weekend
2026-04-11,75.00,Food,Groceries top up,Running low
2026-04-12,150.00,Shopping,Clothes sale haul,Impulse buy
2026-04-13,42.00,Food,Canteen week 2,Lunches
2026-04-14,95.00,Entertainment,Day trip to Lantau,Weekend activity
2026-04-15,180.00,Food,Hot pot group dinner,Social dining
2026-04-16,65.00,Shopping,Phone case and accessories,Tech
2026-04-17,38.00,Food,Canteen week 3,Lunches
2026-04-18,110.00,Entertainment,Karaoke night,Social
2026-04-19,250.00,Shopping,Early April birthday gift,Gift shopping
2026-04-20,88.00,Food,Groceries running low,End of month
2026-04-21,75.00,Entertainment,Escape room with classmates,Social
2026-04-22,55.00,Food,Canteen week 4,Lunches
2026-04-23,320.00,Shopping,New bag end of month splurge,Impulse
2026-04-24,90.00,Food,Convenience store meals,Too tired to cook
2026-04-25,130.00,Entertainment,Concert ticket,Live music
2026-04-26,68.00,Food,Takeaway x4,End of month lazy meals
2026-04-27,45.00,Transport,Taxi rides end of month,Late nights out
2026-04-28,55.00,Food,Final grocery run,Month end
2026-04-29,80.00,Entertainment,Final weekend dinner out,Month end
2026-04-30,35.00,Shopping,Snacks and small items,Miscellaneous
2026-04-31,22.00,Food,Last day canteen,Month end
